Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0,0.21902,0,0,0,0,1
1,0,0,0.04388,0,0,0
0,0,1,0,0,0.00437,1
0,0.0858,0,0,0,0,0
1,1,0,1,0,0,1
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.19592,1,0.99437,0,0,0
0,0.9779,0,1,0,0,0
1,1,0,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.84598,1,0,0,0,0,0
0,0,1,1,0,0.9054,0
0,0,1,0.9902,0,0,0
0,0,1,1,0,0.1709,0
0.85,0,1,1,0,0,0
0,0,1,0,0,0,0
1,0,0,0.99979,0,1,0
1,0,0,0,0.0457,0,0
0,0.37336,0,0,0,0,0
1,0,0,0,0.34621,0,0
1,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0.77535,5e-05,1,0,0,0
0,0.70044,0,1,0,0,0
0,0,1,1,0,0,0
1,1,0.99219,0,0,0,0
0,0,0,1,0,1,0
1,1,1,1,0,0,0
0.97933,0.97562,0,1,0,0.98975,0
0,0,1,1,0,0,0
0,0,0.06426,1,0,0,0
0,0,0,1,0,0,0
0.9986,0,0,0,0,0,0
0,1,1,0,0.00035,0,0
0,0,0.87664,0,0,0,0
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
1,0,0.22612,0,1,0,0
0,0,1,1,0,0,0
0.02468,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,1,0,0,0
1,0,1,1,0,0,0
0,0,0,1,0,0,0
1,0,0.73435,0.58921,0,0,0
1,0,0,0.51996,0,0,0
0,0,0,1,1,0,0
