Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
1,1,0,0,0,0,0.14733
0,0.078,1,0,0,0.42197,0
1,0,0,0,0,0,1
0,0,0.06,0,0,0,0
0,1,0,1,0.66,0,1
1,1,1,0,0,0,0
1,0.73342,1,0,0,0.09593,0
0.95,1,0,0,0,0,0
1,0,0.82956,0,0,0,0
0,0.44838,0,0,1,0,0
1,1,0,0.6,0,0,0
1,0,0,0,0,0,0
0,1,0,0.67968,0,0,0
1,1,0,0.31594,0.43464,0.94716,0
1,0.13164,0,0.43978,0.09319,0,0
0,0,0,0,0,0,0
0,0,1,0,0,1,0
0,0,0,0,0.0471,0,0
1,1,0,0,0,0,0
0,0.87909,0,0,0,0,0
1,1,0,1,0,0,0
0,1,0,0,0,0,0
0,0,0.85873,0.5812,0,0.37493,0
0,0,0.12727,0.18209,0,0,0
0.81924,0,0,0,0.6,0,0
1,0,1,0.5,0.42485,0.06184,0
0,0,1,0,0,0,0
0.6,0,0,0,0,0,0
0,0,1,0,0,0,0
0,1,0,1,0,1,0
0,0,0,1,0,1,0
1,1,1,0,0,0.67312,0
0,0,0.73821,0.36599,0,0,0
0,1,1,0,0,0,0
0,1,0,1,0,0,0
1,0,0,0,0,0,0
1,1,1,0,0,0,0
0,0,0,0.0451,0,0.46,0
0.1,0,0,0,0,0,0
1,0.00057,1,0,0,0,0
0,0,0,0.49187,0,0,0
1,0,0,0.04046,0,0,0
0,1,1,0.13023,0,0,0
0,1,0,1,0.1707,0.936,0
0.5,0.51034,1,1,0,0,0
0.3551,0,0,0.29824,0,0,0
1,0,1,0.86956,0,0.12,0
0,0,0.97279,1,0.48299,0,0
0.10179,0,0.63306,0.56917,0.03882,0,0
0,0,0,0,0,1,0
