Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0,0,1,0,0,0.28,0.2
0,0,1,0,0.0313,0,0
0.6925,1,0,0,0.5,0,1
1,0,0,0,0,0,0
0.9998,0,0,0.50674,0.57189,0,1
1,0,0,0,0,0,0
1,0,0,0,0.1,0.15505,0
0,0.91,0.80851,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0.00312,0
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,0.43321,0.18776,0.45,0,0,0
0,1,0,0,1,0,0
0.8,1,0,0,0.18738,0.05,0
1,0,1,0,0.62601,0,0
0,0,1,0,0,0,0
1,0.16405,0,0.02987,0.2294,0,0
1,0,1,1,0.41,0,0
0,1,1,0.1,0.22331,0.3,0
1,1,0,0,0.2,0,0
0,0,0,0,0.51471,0,0
0,0,0,0.49206,0,0,0
0,1,0,0,0,0,0
0,0,1,0,0.33578,0,0
0,0.38,0,1,0.43748,0,0
0,0,0,0.01455,0,0,0
1,0,0,0,1,0,0
0.9,0,1,0,0,0,0
0,1,0,0,0.06151,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,0,0,0,0,0
0.8,0,1,0,0,0,0
0.06,0,0,1,0.96987,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
0,0,0.72404,1,0.68377,0,0
1,0,0,0.68003,0,0,0
0.30265,0,0,0.50481,0,0.2,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.35968,0.5969,1,0,0
0.08,1,0,0,0,0,0
0,0,1,0,0.9,0,0
0,0,0,0.88989,0.28642,0,0
1,0,0,0,0,0,0
0,0,0,0,0.73675,0,0
0,0,0.91,0.09257,0,0,0
1,0,0,0,0,0.2,0
