Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0,0.192883642235834,0,0,-2.23650409284569e-16,2.2204460492503e-16,1
1,0,0,0.0268259771836188,-2.23650409284569e-16,2.2204460492503e-16,2.2204460492503e-16
0,0,1,0,-2.23650409284569e-16,0.000526244386203409,1
0,0.0613240514322063,0,0,-2.23650409284569e-16,2.2204460492503e-16,2.2204460492503e-16
1,1,0,1,-2.23650409284569e-16,2.2204460492503e-16,1
1,0,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0.166480930208324,1,0.998261559466722,-2.23650409284569e-16,2.2204460492503e-16,0
0,0.988844172372434,0,1,-2.23650409284569e-16,2.2204460492503e-16,0
1,1,0,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0.877784379235419,1,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,0.891571722713336,0
0,0,1,0.997233331089571,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,0.149280490449115,0
0.883925350158897,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,0,-2.23650409284569e-16,2.2204460492503e-16,0
1,0,0,0.999993642532845,-2.23650409284569e-16,1,0
1,0,0,0,0.0242198254566582,2.2204460492503e-16,0
0,0.355117672991214,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
1,0,0,0,0.326009514156503,2.2204460492503e-16,0
1,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0.797113880740956,1.0309603859504e-07,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0.721487279580186,0,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
1,1,0.998788878625097,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,1,-2.23650409284569e-16,1,0
1,1,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0.990123410011514,0.98774263346293,0,1,-2.23650409284569e-16,0.997823483880067,0
0,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0.0409237357365343,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,1,-2.23650409284569e-16,2.2204460492503e-16,0
0.999974629122173,0,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,1,1,0,1.4278382716815e-05,2.2204460492503e-16,0
0,0,0.903293522280202,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
1,0,0.204835056687505,0,1,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0.010616839102722,0,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,0,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
1,0,1,1,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,1,-2.23650409284569e-16,2.2204460492503e-16,0
1,0,0.750140735940225,0.590124342314225,-2.23650409284569e-16,2.2204460492503e-16,0
1,0,0,0.526630639504849,-2.23650409284569e-16,2.2204460492503e-16,0
0,0,0,1,1,2.2204460492503e-16,0
