Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0,0,0,0,1,0.0164287440495625,0.184092177067192
1,0,0,1,0,0,0
0.877689454769028,1,1,0,0.209456398987136,0,1
0,1,0,0.0411175728823457,0,0,0
0,1,0,1,0,0,1
0.978564647775552,0.0136531285407977,1,0,0,0,0
1,0,0,0,0,0,0
0,0.0250739652843591,1,0,0,0,0
0,0,0,0.681277058870567,0.362247312014299,0,0
0,1,0,0,0,0,0
1,0,0,0,0.436773149778726,0,0
0.998254156258646,0.0741608330235532,0,0.0727539531912999,0.370984742280285,0,0
0,1,0.246956165844268,0.616114395886472,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0.36662409899377,0,0
1,0,0,0,0,0,0
0,0.000521694841702254,0.975171692329611,0.379466647320038,0.468376777330731,0,0
0,0,0,0.775073142008978,0.00597914148665511,0,0
1,0,0,1,0.479457471395263,0,0
0,1,0,0,0,0,0
0,0,0,1,0.96196155463525,0,0
0,0,0,0.839203544192565,0.000506621852043426,0,0
1,0,0,0.972375258813671,0,0,0
0,0,0,0.00965951695515488,0,0,0
0,0,0,0,0,0,0
0.755025181336241,1,0,0.550397045811804,0.817207976289458,0,0
1,0,1,0.740365009432257,0,0,0
0.938149832929657,0,1,1,0.527301954954281,0,0
0,0,1,0.599637874020703,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0.997836987598143,0,0
0,0,1,0.999374472518106,0,0,0
0,0,0,0.620146994325624,0.494385092037639,0,0
0.980943138142312,1,0,0,0,0,0
0,1,0,0.412474230318425,1,0,0
0.192677530515781,0,0,0,0.501727536432324,0,0
1,1,0,0,0,0,0
1,1,0.14724448625154,0,0.697552404327093,0.264496421467244,0
0,0,0,1,0,0.365887751804202,0
0,0,0,0,1,0,0
1,0,1,1,0.481272062592079,0.212708710404407,0
0,0.28592670535104,0,0,0,0.0632251557432024,0
0,0,0,1,0.029332086184402,0,0
1,0,1,0,0,0,0
0,0,0,0,0.906409591433848,0,0
0,0,0,0,0.832966318253845,0,0
0,0,0,0,0.512233368713142,0,0
0,0,0,0,0,0,0
1,1,0.777212890021141,0,0,0,0
0,0,0.689722086488773,1,1,0,0
