Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
1,1,0,0,0,0,1
1.11022302462516e-16,0,1,0,0,0,0
1.11022302462516e-16,0,0,1,0,0,1
1,0,1,1,0,0,0
1,0,0,1,0,1,1
1.11022302462516e-16,0,0,1,0,0,0
1.11022302462516e-16,0,0,0.995524536830621,0,0,0
1.11022302462516e-16,0.322969563185874,1,0,0,0,0
0.0151476478057605,1,0,0,0,0,0
1,0,0,0,0,0,0
0.646589776900103,0,1,0,1,0,0
1.11022302462516e-16,0,1,1,0,0,0
1,0.619556975395639,0,0,0,1,0
1.11022302462516e-16,0,1,1,0,0,0
1,0,1,0,0,0,0
0.996727623429055,0,0,1,0,0,0
1.11022302462516e-16,0,1,0,0,1,0
1,0,0,1,0,0,0
0.874385515819299,0,0,1,1,0,0
1,0,1,0,0,0,0
1.11022302462516e-16,0,0,0,0,0,0
1,0,0,1,0,0,0
1,0,0.0174502346674745,0,0,0,0
1.11022302462516e-16,0,0,0.429891328586892,0,0,0
0.737626477589167,1,0,1,0,0,0
1,1,0,1,0,0,0
1.11022302462516e-16,0,1,0,0,0,0
1.11022302462516e-16,1,0,1,0,0,0
1.11022302462516e-16,0,0,0,0,0,0
1,0,0,1,0,0,0
1.11022302462516e-16,1,0,0,0.999798180249803,0,0
1,0,1,0.824540800994081,0,0,0
1,0,0,0,0,0,0
1.11022302462516e-16,0,1,1,0,1,0
1,0,0,0,0,0,0
1.11022302462516e-16,0,0,0,0,0,0
1,1,1,0,0,0,0
1.11022302462516e-16,0,1,1,0,0,0
0.646976504385981,0,1,0.0643167857648051,0,0,0
1.11022302462516e-16,0,1,1,0,0,0
1,0,1,0,0,0,0
1.11022302462516e-16,0,1,0,0,1,0
1,0,0,0,0,0,0
1.11022302462516e-16,0,0,1,0,0,0
1.11022302462516e-16,0,1,0.998224216702957,0,0,0
1.11022302462516e-16,0,0,1,0,0,0
1.11022302462516e-16,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1.11022302462516e-16,1,0,0,0,0,0
