Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
0,0.00971,0,0,0,0.48181,0.10295
1,0.5123,1,0,0,0,0
0,0.12791,1,0.92032,0,0,1
1,0,0.52937,0,0,0,0
0.93139,0,0.0328,0,0,0,1
1,0,1,0.38465,0,0,0
1,0.11487,0,1,0,0,0
0,0,0,0,0,0,0
0.73898,0.56511,0.53591,0,0.03368,0,0
0,0.26561,0,0,0.41247,0,0
0,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0.31727,0,0,0
0,0,0.03,0,0,0,0
0,1,0,0.768,0.00608,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0.53964,0,0.41228,0
1,0,1,1,0,0,0
1,0,0,0.5,0,0,0
0.18984,0.99594,0,0,0.03622,0,0
1,1,0.51926,0.23975,0,0,0
0,0.22,0,0,1,0,0
1,0,0,1,0,0,0
0,0,1,0.89457,0.12944,0,0
0,1,0.70777,0,0,0.1,0
0,0,0,0,0,0.09761,0
0,0,0.24323,0.50666,0,0,0
0,0,1,0,0,0,0
0,0,0.37671,0,0,0.06,0
0.7,0,0,0,0,0,0
0,0,0,0.8867,0.12785,0,0
0,0,0.66581,0.025,0.39493,0,0
0.03049,0,0,0.59547,0.17094,0,0
0,1,0,0,0.73035,0.1,0
1,0,0,0.4,0.5,0.34,0
0,1,0,0.11814,0,0,0
0.15,0,0.04276,0,0,0,0
0,1,1,0,0,0,0
1,0.76261,0,0,0.19397,0.35748,0
0,0.93704,0,1,8e-05,0.31264,0
0.09004,0,1,0.24587,0.5,0.11435,0
0,0,0.06,0,0,0,0
0,1,1,0,0.55756,0,0
1,0,0.5,0,0,0.34942,0
0,0,0,0,0,0,0
0,0,0.52914,0,0.39328,0,0
1,0,0.15904,0.92951,0,0,0
0,0,0,0.66088,0,0,0
0,0.97065,1,0,0,0,0
