Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7
1,1,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,1,0,0,1
1,0,1,1,0,0,0
1,0,0,1,0,1,1
0,0,0,1,0,0,0
0,0,0,0.98857,0,0,0
0,0.36389,1,0,0,0,0
0.0281,1,0,0,0,0,0
1,0,0,0,0,0,0
0.63003,0,1,0,1,0,0
0,0,1,1,0,0,0
1,0.61242,0,0,0,1,0
0,0,1,1,0,0,0
1,0,1,0,0,0,0
0.98946,0,0,1,0,0,0
0,0,1,0,0,1,0
1,0,0,1,0,0,0
0.85,0,0,1,1,0,0
1,0,1,0,0,0,0
0,0,0,0,0,0,0
1,0,0,1,0,0,0
1,0,0.03761,0,0,0,0
0,0,0,0.42793,0,0,0
0.71535,1,0,1,0,0,0
1,1,0,1,0,0,0
0,0,1,0,0,0,0
0,1,0,1,0,0,0
0,0,0,0,0,0,0
1,0,0,1,0,0,0
0,1,0,0,0.99789,0,0
1,0,1,0.78332,0,0,0
1,0,0,0,0,0,0
0,0,1,1,0,1,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,0,0,0,0
0,0,1,1,0,0,0
0.63326,0,1,0.08138,0,0,0
0,0,1,1,0,0,0
1,0,1,0,0,0,0
0,0,1,0,0,1,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,1,0.99267,0,0,0
0,0,0,1,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
